plot_name,latitude,longitude,commodity,annual_spend_eur,plot_geojson,plot_area_ha,region,country,irrigation_status
Barry Callebaut - San-Pedro Cocoa Plot 015,4.906079,-6.716733,Cocoa,45000,,3.43,San-Pedro,CI,rain_fed
Olam Cocoa - Western Cocoa Plot 016,5.692641,-2.450089,Cocoa,757000,,3.1,Western,GH,rain_fed
Olam Cocoa - San-Pedro Cocoa Plot 017,4.304265,-6.281537,Cocoa,754000,,1.47,San-Pedro,CI,rain_fed
Olam Cocoa - Ondo Cocoa Plot 018,6.858659,5.005993,Cocoa,724000,,2.51,Ondo,NG,rain_fed
Olam Cocoa - Western Cocoa Plot 019,5.041247,-2.197162,Cocoa,307000,"{""type"":""Polygon"",""coordinates"":[[[-2.197162,5.041247],[-2.192366,5.041247],[-2.192366,5.047339],[-2.197162,5.047339],[-2.197162,5.041247]]]}",,Western,GH,rain_fed
Barry Callebaut - Centre Cocoa Plot 020,4.536039,11.35131,Cocoa,248000,,2.16,Centre,CM,rain_fed
Cemoi - Ashanti Cocoa Plot 021,6.781901,-1.640822,Cocoa,841000,,3.04,Ashanti,GH,rain_fed
Cargill Cocoa - Daloa Cocoa Plot 022,6.98803,-6.812421,Cocoa,709000,,3.12,Daloa,CI,rain_fed
Touton - Centre Cocoa Plot 023,4.312095,11.46515,Cocoa,451000,,3.44,Centre,CM,rain_fed
Cargill Cocoa - Ondo Cocoa Plot 024,6.847585,5.330573,Cocoa,110000,,1.24,Ondo,NG,rain_fed
Cargill Cocoa - Ondo Cocoa Plot 025,7.489561,4.992851,Cocoa,379000,"{""type"":""Polygon"",""coordinates"":[[[4.992851,7.489561],[4.9958,7.489561],[4.9958,7.493029],[4.992851,7.493029],[4.992851,7.489561]]]}",,Ondo,NG,rain_fed
Cemoi - Western Cocoa Plot 026,4.988401,-2.294801,Cocoa,462000,,0.87,Western,GH,rain_fed
Touton - Guayas Cocoa Plot 027,-2.301988,-79.78534,Cocoa,561000,,0.36,Guayas,EC,rain_fed
Barry Callebaut - Ashanti Cocoa Plot 028,7.064059,-1.440252,Cocoa,54000,,1.49,Ashanti,GH,rain_fed
Cemoi - Daloa Cocoa Plot 029,7.147222,-6.948031,Cocoa,593000,,3.12,Daloa,CI,rain_fed
Touton - Centre Cocoa Plot 030,3.99622,11.484841,Cocoa,597000,,2.04,Centre,CM,rain_fed
Cemoi - San-Pedro Cocoa Plot 031,4.436455,-6.149171,Cocoa,751000,"{""type"":""Polygon"",""coordinates"":[[[-6.149171,4.436455],[-6.142123,4.436455],[-6.142123,4.441718],[-6.149171,4.441718],[-6.149171,4.436455]]]}",,San-Pedro,CI,rain_fed
Olam Cocoa - Ashanti Cocoa Plot 032,7.208664,-2.005047,Cocoa,446000,,3.21,Ashanti,GH,rain_fed
Cemoi - Ashanti Cocoa Plot 033,6.440491,-1.739604,Cocoa,447000,,3.15,Ashanti,GH,rain_fed
Olam Cocoa - Ondo Cocoa Plot 034,6.764165,5.36363,Cocoa,555000,,0.5,Ondo,NG,rain_fed
Olam Cocoa - Ondo Cocoa Plot 035,6.660726,4.701116,Cocoa,534000,,3.76,Ondo,NG,rain_fed
Olam Cocoa - San-Pedro Cocoa Plot 036,4.42541,-6.819374,Cocoa,243000,,2.25,San-Pedro,CI,rain_fed
Touton - Western Cocoa Plot 037,5.007949,-1.86951,Cocoa,663000,"{""type"":""Polygon"",""coordinates"":[[[-1.86951,5.007949],[-1.867349,5.007949],[-1.867349,5.010928],[-1.86951,5.010928],[-1.86951,5.007949]]]}",,Western,GH,rain_fed
Touton - Ashanti Cocoa Plot 038,6.196638,-1.326961,Cocoa,177000,,1.99,Ashanti,GH,rain_fed
Cemoi - Ondo Cocoa Plot 039,7.520269,4.99397,Cocoa,86000,,1.97,Ondo,NG,rain_fed
Touton - San-Pedro Cocoa Plot 040,4.786792,-6.98931,Cocoa,835000,,0.99,San-Pedro,CI,rain_fed
Cargill Cocoa - Western Cocoa Plot 041,6.043263,-2.826862,Cocoa,203000,,3.7,Western,GH,rain_fed
Barry Callebaut - Daloa Cocoa Plot 042,7.188091,-5.914773,Cocoa,526000,,1.2,Daloa,CI,rain_fed
Cemoi - Ashanti Cocoa Plot 043,6.328106,-1.879037,Cocoa,375000,"{""type"":""Polygon"",""coordinates"":[[[-1.879037,6.328106],[-1.87387,6.328106],[-1.87387,6.333373],[-1.879037,6.333373],[-1.879037,6.328106]]]}",,Ashanti,GH,rain_fed
Olam Cocoa - Ondo Cocoa Plot 044,7.262841,5.158027,Cocoa,310000,,0.8,Ondo,NG,rain_fed
Cemoi - Western Cocoa Plot 045,5.489477,-1.89883,Cocoa,384000,,2.73,Western,GH,rain_fed
Cemoi - Ashanti Cocoa Plot 046,7.041953,-1.195393,Cocoa,739000,,1.48,Ashanti,GH,rain_fed
Olam Cocoa - Daloa Cocoa Plot 047,6.95686,-6.174666,Cocoa,299000,,2.23,Daloa,CI,mixed
Olam Cocoa - Western Cocoa Plot 048,5.689632,-2.341504,Cocoa,405000,,2.76,Western,GH,rain_fed
Cargill Cocoa - Daloa Cocoa Plot 049,6.487801,-6.626917,Cocoa,441000,"{""type"":""Polygon"",""coordinates"":[[[-6.626917,6.487801],[-6.621971,6.487801],[-6.621971,6.492979],[-6.626917,6.492979],[-6.626917,6.487801]]]}",,Daloa,CI,rain_fed
Barry Callebaut - Centre Cocoa Plot 050,4.149115,11.615395,Cocoa,114000,,2.39,Centre,CM,mixed
Touton - Western Cocoa Plot 051,5.99854,-2.227215,Cocoa,511000,,0.51,Western,GH,rain_fed
Cemoi - Ondo Cocoa Plot 052,6.700557,5.646577,Cocoa,232000,,0.91,Ondo,NG,rain_fed
Barry Callebaut - Ondo Cocoa Plot 053,6.78596,4.636676,Cocoa,47000,,2.33,Ondo,NG,rain_fed
Touton - Western Cocoa Plot 054,5.900317,-2.090355,Cocoa,832000,,3.5,Western,GH,rain_fed
Cemoi - Daloa Cocoa Plot 055,6.792037,-6.801158,Cocoa,288000,"{""type"":""Polygon"",""coordinates"":[[[-6.801158,6.792037],[-6.794465,6.792037],[-6.794465,6.798553],[-6.801158,6.798553],[-6.801158,6.792037]]]}",,Daloa,CI,rain_fed
Barry Callebaut - Ondo Cocoa Plot 056,6.899545,5.076249,Cocoa,121000,,0.76,Ondo,NG,rain_fed
Barry Callebaut - Centre Cocoa Plot 057,3.852382,11.453731,Cocoa,624000,,0.57,Centre,CM,mixed
Cargill Cocoa - San-Pedro Cocoa Plot 058,5.152385,-6.270532,Cocoa,271000,,3.34,San-Pedro,CI,rain_fed
Touton - Ondo Cocoa Plot 059,6.643109,5.071684,Cocoa,315000,,3.54,Ondo,NG,rain_fed
Olam Cocoa - Ondo Cocoa Plot 060,6.786308,4.851519,Cocoa,411000,,3.61,Ondo,NG,rain_fed
Touton - Daloa Cocoa Plot 061,7.25467,-6.88516,Cocoa,95000,"{""type"":""Polygon"",""coordinates"":[[[-6.88516,7.25467],[-6.879238,7.25467],[-6.879238,7.261714],[-6.88516,7.261714],[-6.88516,7.25467]]]}",,Daloa,CI,rain_fed
Barry Callebaut - Daloa Cocoa Plot 062,7.358209,-6.794719,Cocoa,509000,,3.39,Daloa,CI,rain_fed
Olam Cocoa - Guayas Cocoa Plot 063,-1.819385,-80.262025,Cocoa,456000,,0.68,Guayas,EC,rain_fed
Cemoi - San-Pedro Cocoa Plot 064,5.028309,-7.178596,Cocoa,291000,,3.6,San-Pedro,CI,rain_fed
Barry Callebaut - Ondo Cocoa Plot 065,7.013287,5.604268,Cocoa,542000,,0.73,Ondo,NG,rain_fed
Olam Cocoa - Centre Cocoa Plot 066,3.621456,11.100903,Cocoa,368000,,0.61,Centre,CM,rain_fed
Touton - Western Cocoa Plot 067,5.322348,-2.522803,Cocoa,815000,"{""type"":""Polygon"",""coordinates"":[[[-2.522803,5.322348],[-2.516007,5.322348],[-2.516007,5.327483],[-2.522803,5.327483],[-2.522803,5.322348]]]}",,Western,GH,rain_fed
Cargill Cocoa - San-Pedro Cocoa Plot 068,4.229231,-6.457854,Cocoa,380000,,1.39,San-Pedro,CI,rain_fed
Barry Callebaut - Ondo Cocoa Plot 069,7.262914,5.375511,Cocoa,864000,,2.49,Ondo,NG,rain_fed
Cargill Cocoa - Centre Cocoa Plot 070,4.494389,11.901875,Cocoa,669000,,1.91,Centre,CM,rain_fed
Cemoi - Ashanti Cocoa Plot 071,6.916839,-1.108444,Cocoa,418000,,1.71,Ashanti,GH,mixed
Olam Cocoa - Western Cocoa Plot 072,5.282396,-1.802537,Cocoa,205000,,3.12,Western,GH,rain_fed
Barry Callebaut - Guayas Cocoa Plot 073,-1.97091,-79.775222,Cocoa,165000,"{""type"":""Polygon"",""coordinates"":[[[-79.775222,-1.97091],[-79.771031,-1.97091],[-79.771031,-1.96563],[-79.775222,-1.96563],[-79.775222,-1.97091]]]}",,Guayas,EC,rain_fed
Cargill Cocoa - Daloa Cocoa Plot 074,7.380791,-5.959545,Cocoa,599000,,0.46,Daloa,CI,rain_fed
Olam Cocoa - San-Pedro Cocoa Plot 075,5.195307,-6.861997,Cocoa,716000,,3.19,San-Pedro,CI,rain_fed
Cargill Cocoa - Guayas Cocoa Plot 076,-1.930804,-80.413179,Cocoa,885000,,1.09,Guayas,EC,rain_fed
Cemoi - Ashanti Cocoa Plot 077,6.141912,-1.511453,Cocoa,751000,,1.32,Ashanti,GH,rain_fed
Touton - Ondo Cocoa Plot 078,6.685485,5.083861,Cocoa,167000,,2.84,Ondo,NG,rain_fed
Cargill Cocoa - Ondo Cocoa Plot 079,6.604119,4.780734,Cocoa,442000,"{""type"":""Polygon"",""coordinates"":[[[4.780734,6.604119],[4.785153,6.604119],[4.785153,6.608871],[4.780734,6.608871],[4.780734,6.604119]]]}",,Ondo,NG,rain_fed
Cemoi - Guayas Cocoa Plot 080,-2.426508,-80.306355,Cocoa,409000,,1.48,Guayas,EC,mixed
Cargill Cocoa - Guayas Cocoa Plot 081,-1.709576,-79.922979,Cocoa,574000,,1.88,Guayas,EC,rain_fed
Barry Callebaut - Western Cocoa Plot 082,5.502679,-2.396421,Cocoa,631000,,0.92,Western,GH,rain_fed
Olam Cocoa - Ashanti Cocoa Plot 083,6.143116,-1.662578,Cocoa,313000,,3.03,Ashanti,GH,rain_fed
Cargill Cocoa - Ondo Cocoa Plot 084,6.620002,4.633701,Cocoa,229000,,2.4,Ondo,NG,rain_fed
Olam Cocoa - San-Pedro Cocoa Plot 085,4.70199,-6.134654,Cocoa,315000,"{""type"":""Polygon"",""coordinates"":[[[-6.134654,4.70199],[-6.130462,4.70199],[-6.130462,4.706942],[-6.134654,4.706942],[-6.134654,4.70199]]]}",,San-Pedro,CI,mixed
Barry Callebaut - Western Cocoa Plot 086,5.365833,-2.754174,Cocoa,696000,,3.11,Western,GH,rain_fed
Touton - Centre Cocoa Plot 087,4.2465,11.44578,Cocoa,139000,,3.07,Centre,CM,rain_fed
Cemoi - Ashanti Cocoa Plot 088,6.902186,-1.367063,Cocoa,515000,,1.07,Ashanti,GH,rain_fed
Touton - San-Pedro Cocoa Plot 089,4.617277,-6.307591,Cocoa,649000,,1.98,San-Pedro,CI,rain_fed
Barry Callebaut - Ashanti Cocoa Plot 090,6.418341,-2.071179,Cocoa,57000,,0.71,Ashanti,GH,rain_fed
Barry Callebaut - Ondo Cocoa Plot 091,7.35554,5.457594,Cocoa,337000,"{""type"":""Polygon"",""coordinates"":[[[5.457594,7.35554],[5.465632,7.35554],[5.465632,7.361888],[5.457594,7.361888],[5.457594,7.35554]]]}",,Ondo,NG,rain_fed
Sucafina - Sao Paulo Coffee Plot 001,-22.008615,-46.579024,Coffee,869000,,0.71,Sao Paulo,BR,rain_fed
Neumann Kaffee - Sidama Coffee Plot 002,6.64394,39.045623,Coffee,912000,,1.48,Sidama,ET,rain_fed
Sucafina - Dak Lak Coffee Plot 003,12.209502,108.544298,Coffee,1100000,,1.51,Dak Lak,VN,rain_fed
Neumann Kaffee - Minas Gerais Coffee Plot 004,-21.119441,-44.72037,Coffee,1121000,,2.56,Minas Gerais,BR,mixed
ECOM - Sidama Coffee Plot 005,6.892652,38.712509,Coffee,1070000,,3.53,Sidama,ET,mixed
ECOM - Sao Paulo Coffee Plot 006,-22.402775,-47.151643,Coffee,1176000,"{""type"":""Polygon"",""coordinates"":[[[-47.151643,-22.402775],[-47.145545,-22.402775],[-47.145545,-22.395552],[-47.151643,-22.395552],[-47.151643,-22.402775]]]}",,Sao Paulo,BR,rain_fed
Volcafe - Sao Paulo Coffee Plot 007,-21.610727,-46.89476,Coffee,207000,,3.4,Sao Paulo,BR,rain_fed
ECOM - Sidama Coffee Plot 008,7.181747,38.502369,Coffee,979000,,2.65,Sidama,ET,irrigated
ECOM - Comayagua Coffee Plot 009,15.102341,-88.465144,Coffee,892000,,3.55,Comayagua,HN,mixed
LDC Coffee - Minas Gerais Coffee Plot 010,-20.879824,-44.48328,Coffee,142000,,2.98,Minas Gerais,BR,mixed
Volcafe - Comayagua Coffee Plot 011,14.520606,-88.367884,Coffee,599000,,3.06,Comayagua,HN,mixed
LDC Coffee - Sidama Coffee Plot 012,7.247213,38.602147,Coffee,747000,"{""type"":""Polygon"",""coordinates"":[[[38.602147,7.247213],[38.604778,7.247213],[38.604778,7.249614],[38.602147,7.249614],[38.602147,7.247213]]]}",,Sidama,ET,mixed
LDC Coffee - Antioquia Coffee Plot 013,6.508125,-75.796452,Coffee,1161000,,1.71,Antioquia,CO,rain_fed
Neumann Kaffee - Comayagua Coffee Plot 014,14.117578,-87.81229,Coffee,498000,,3.19,Comayagua,HN,irrigated
LDC Coffee - Dak Lak Coffee Plot 015,12.963687,108.170145,Coffee,660000,,2.5,Dak Lak,VN,irrigated
Neumann Kaffee - Dak Lak Coffee Plot 016,13.002556,107.727469,Coffee,211000,,0.37,Dak Lak,VN,rain_fed
Neumann Kaffee - Minas Gerais Coffee Plot 017,-20.67437,-45.404945,Coffee,1021000,,1.24,Minas Gerais,BR,mixed
Neumann Kaffee - Minas Gerais Coffee Plot 018,-20.988346,-45.192152,Coffee,283000,"{""type"":""Polygon"",""coordinates"":[[[-45.192152,-20.988346],[-45.186309,-20.988346],[-45.186309,-20.984066],[-45.192152,-20.984066],[-45.192152,-20.988346]]]}",,Minas Gerais,BR,rain_fed
LDC Coffee - Comayagua Coffee Plot 019,14.267963,-87.508055,Coffee,1161000,,2.61,Comayagua,HN,irrigated
Volcafe - Sao Paulo Coffee Plot 020,-21.540437,-46.814095,Coffee,399000,,0.67,Sao Paulo,BR,rain_fed
LDC Coffee - Minas Gerais Coffee Plot 021,-21.022128,-45.050167,Coffee,654000,,1.73,Minas Gerais,BR,mixed
LDC Coffee - Comayagua Coffee Plot 022,14.323452,-88.390862,Coffee,146000,,0.37,Comayagua,HN,mixed
Volcafe - Dak Lak Coffee Plot 023,12.676326,108.136187,Coffee,630000,,0.99,Dak Lak,VN,irrigated
Sucafina - Comayagua Coffee Plot 024,14.132602,-87.638784,Coffee,369000,"{""type"":""Polygon"",""coordinates"":[[[-87.638784,14.132602],[-87.635552,14.132602],[-87.635552,14.135797],[-87.638784,14.135797],[-87.638784,14.132602]]]}",,Comayagua,HN,mixed
LDC Coffee - Sao Paulo Coffee Plot 025,-21.778875,-47.364915,Coffee,382000,,1.73,Sao Paulo,BR,irrigated
Neumann Kaffee - Antioquia Coffee Plot 026,5.788532,-75.679055,Coffee,1177000,,0.71,Antioquia,CO,rain_fed
ECOM - Sidama Coffee Plot 027,7.01875,38.542377,Coffee,1050000,,3.08,Sidama,ET,irrigated
LDC Coffee - Huila Coffee Plot 028,2.769559,-75.39898,Coffee,1020000,,0.96,Huila,CO,rain_fed
LDC Coffee - Sao Paulo Coffee Plot 029,-21.63487,-47.431457,Coffee,491000,,2.35,Sao Paulo,BR,irrigated
Sucafina - Antioquia Coffee Plot 030,6.261002,-75.180682,Coffee,1033000,"{""type"":""Polygon"",""coordinates"":[[[-75.180682,6.261002],[-75.176055,6.261002],[-75.176055,6.267095],[-75.180682,6.267095],[-75.180682,6.261002]]]}",,Antioquia,CO,irrigated
Sucafina - Antioquia Coffee Plot 031,5.832094,-75.485712,Coffee,960000,,2.24,Antioquia,CO,rain_fed
Sucafina - Sao Paulo Coffee Plot 032,-22.119629,-46.745951,Coffee,464000,,3.67,Sao Paulo,BR,rain_fed
LDC Coffee - Sao Paulo Coffee Plot 033,-22.304589,-47.245343,Coffee,348000,,1.25,Sao Paulo,BR,rain_fed
Volcafe - Huila Coffee Plot 034,3.020743,-75.333496,Coffee,215000,,1.11,Huila,CO,mixed
LDC Coffee - Dak Lak Coffee Plot 035,12.993669,108.329648,Coffee,849000,,3.0,Dak Lak,VN,irrigated
LDC Coffee - Dak Lak Coffee Plot 036,12.312826,108.180765,Coffee,151000,"{""type"":""Polygon"",""coordinates"":[[[108.180765,12.312826],[108.185861,12.312826],[108.185861,12.31939],[108.180765,12.31939],[108.180765,12.312826]]]}",,Dak Lak,VN,rain_fed
Volcafe - Sao Paulo Coffee Plot 037,-22.364367,-46.747236,Coffee,82000,,2.44,Sao Paulo,BR,irrigated
Neumann Kaffee - Huila Coffee Plot 038,2.959621,-75.280799,Coffee,582000,,3.56,Huila,CO,irrigated
Sucafina - Sao Paulo Coffee Plot 039,-21.660862,-46.57924,Coffee,989000,,1.18,Sao Paulo,BR,rain_fed
Sucafina - Minas Gerais Coffee Plot 040,-21.434511,-45.135736,Coffee,1004000,,1.21,Minas Gerais,BR,mixed
ECOM - Minas Gerais Coffee Plot 041,-20.62264,-45.016665,Coffee,717000,,0.67,Minas Gerais,BR,mixed
LDC Coffee - Sidama Coffee Plot 042,6.551086,38.264101,Coffee,534000,"{""type"":""Polygon"",""coordinates"":[[[38.264101,6.551086],[38.269709,6.551086],[38.269709,6.557897],[38.264101,6.557897],[38.264101,6.551086]]]}",,Sidama,ET,irrigated
LDC Coffee - Dak Lak Coffee Plot 043,13.15844,107.957426,Coffee,860000,,0.59,Dak Lak,VN,rain_fed
ECOM - Dak Lak Coffee Plot 044,13.057435,108.360071,Coffee,390000,,0.42,Dak Lak,VN,rain_fed
Volcafe - Comayagua Coffee Plot 045,14.185145,-88.420561,Coffee,973000,,2.88,Comayagua,HN,irrigated
Volcafe - Dak Lak Coffee Plot 046,12.374743,108.443755,Coffee,376000,,0.62,Dak Lak,VN,mixed
Neumann Kaffee - Sao Paulo Coffee Plot 047,-22.53744,-46.50546,Coffee,256000,,3.53,Sao Paulo,BR,rain_fed
Neumann Kaffee - Sidama Coffee Plot 048,6.259704,38.13107,Coffee,579000,"{""type"":""Polygon"",""coordinates"":[[[38.13107,6.259704],[38.137643,6.259704],[38.137643,6.265483],[38.13107,6.265483],[38.13107,6.259704]]]}",,Sidama,ET,irrigated
Volcafe - Sao Paulo Coffee Plot 049,-22.418932,-47.244743,Coffee,417000,,1.09,Sao Paulo,BR,irrigated
ECOM - Minas Gerais Coffee Plot 050,-20.713037,-44.73275,Coffee,196000,,0.59,Minas Gerais,BR,mixed
LDC Coffee - Huila Coffee Plot 051,2.982302,-75.245641,Coffee,637000,,0.4,Huila,CO,irrigated
ECOM - Comayagua Coffee Plot 052,14.138659,-88.035638,Coffee,382000,,0.5,Comayagua,HN,irrigated
ECOM - Comayagua Coffee Plot 053,15.1098,-87.703377,Coffee,901000,,2.48,Comayagua,HN,mixed
Sucafina - Minas Gerais Coffee Plot 054,-21.34718,-44.607125,Coffee,268000,"{""type"":""Polygon"",""coordinates"":[[[-44.607125,-21.34718],[-44.601903,-21.34718],[-44.601903,-21.341399],[-44.607125,-21.341399],[-44.607125,-21.34718]]]}",,Minas Gerais,BR,mixed
LDC Coffee - Comayagua Coffee Plot 055,14.86946,-87.74493,Coffee,646000,,2.73,Comayagua,HN,mixed
Sucafina - Dak Lak Coffee Plot 056,12.20335,108.576582,Coffee,650000,,0.86,Dak Lak,VN,mixed
LDC Coffee - Comayagua Coffee Plot 057,14.961379,-87.506311,Coffee,1098000,,2.94,Comayagua,HN,mixed
ECOM - Sidama Coffee Plot 058,6.370059,38.774321,Coffee,828000,,3.27,Sidama,ET,irrigated
Neumann Kaffee - Sidama Coffee Plot 059,6.206606,38.255007,Coffee,313000,,1.83,Sidama,ET,irrigated
Sucafina - Huila Coffee Plot 060,2.849011,-75.816383,Coffee,401000,"{""type"":""Polygon"",""coordinates"":[[[-75.816383,2.849011],[-75.811839,2.849011],[-75.811839,2.852986],[-75.816383,2.852986],[-75.816383,2.849011]]]}",,Huila,CO,mixed
LDC Coffee - Huila Coffee Plot 061,2.590495,-75.349248,Coffee,560000,,3.17,Huila,CO,mixed
Neumann Kaffee - Huila Coffee Plot 062,2.643426,-75.236546,Coffee,1171000,,0.81,Huila,CO,mixed
Neumann Kaffee - Minas Gerais Coffee Plot 063,-20.747999,-45.233196,Coffee,225000,,3.6,Minas Gerais,BR,mixed
Sucafina - Minas Gerais Coffee Plot 064,-20.724732,-44.700723,Coffee,970000,,3.11,Minas Gerais,BR,mixed
Neumann Kaffee - Sidama Coffee Plot 065,6.971291,38.630411,Coffee,125000,,2.48,Sidama,ET,mixed
Sucafina - Comayagua Coffee Plot 066,14.196148,-88.365759,Coffee,1053000,"{""type"":""Polygon"",""coordinates"":[[[-88.365759,14.196148],[-88.359707,14.196148],[-88.359707,14.200581],[-88.365759,14.200581],[-88.365759,14.196148]]]}",,Comayagua,HN,irrigated
Neumann Kaffee - Sidama Coffee Plot 067,6.981966,38.349759,Coffee,676000,,1.86,Sidama,ET,mixed
Sucafina - Huila Coffee Plot 068,2.928262,-75.638896,Coffee,599000,,3.34,Huila,CO,rain_fed
Volcafe - Sidama Coffee Plot 069,6.962923,39.044741,Coffee,563000,,2.37,Sidama,ET,rain_fed
Sucafina - Minas Gerais Coffee Plot 070,-21.217632,-45.519605,Coffee,362000,,1.48,Minas Gerais,BR,irrigated
ECOM - Antioquia Coffee Plot 071,6.011098,-75.513632,Coffee,646000,,1.7,Antioquia,CO,rain_fed
Volcafe - Comayagua Coffee Plot 072,14.259362,-87.957749,Coffee,341000,"{""type"":""Polygon"",""coordinates"":[[[-87.957749,14.259362],[-87.949547,14.259362],[-87.949547,14.265935],[-87.957749,14.265935],[-87.957749,14.259362]]]}",,Comayagua,HN,rain_fed
Volcafe - Comayagua Coffee Plot 073,14.112139,-88.355629,Coffee,560000,,2.23,Comayagua,HN,rain_fed
Neumann Kaffee - Huila Coffee Plot 074,2.661349,-75.94065,Coffee,717000,,0.87,Huila,CO,irrigated
ECOM - Huila Coffee Plot 075,2.749477,-75.634062,Coffee,417000,,3.74,Huila,CO,mixed
Neumann Kaffee - Dak Lak Coffee Plot 076,12.813181,107.847492,Coffee,1138000,,1.57,Dak Lak,VN,mixed
Sucafina - Sidama Coffee Plot 077,7.134117,38.542359,Coffee,441000,,1.99,Sidama,ET,mixed
Volcafe - Antioquia Coffee Plot 078,6.483514,-75.437829,Coffee,1160000,"{""type"":""Polygon"",""coordinates"":[[[-75.437829,6.483514],[-75.431705,6.483514],[-75.431705,6.491389],[-75.437829,6.491389],[-75.437829,6.483514]]]}",,Antioquia,CO,mixed
Sucafina - Sidama Coffee Plot 079,6.574783,38.565569,Coffee,46000,,2.35,Sidama,ET,irrigated
Sucafina - Sao Paulo Coffee Plot 080,-22.317825,-46.956319,Coffee,699000,,2.83,Sao Paulo,BR,mixed
Neumann Kaffee - Comayagua Coffee Plot 081,14.457692,-87.95331,Coffee,807000,,0.63,Comayagua,HN,rain_fed
Volcafe - Minas Gerais Coffee Plot 082,-20.849379,-44.723915,Coffee,84000,,1.39,Minas Gerais,BR,irrigated
Sucafina - Comayagua Coffee Plot 083,14.607691,-88.411179,Coffee,171000,,3.15,Comayagua,HN,mixed
Sucafina - Sao Paulo Coffee Plot 084,-22.408353,-47.339792,Coffee,241000,"{""type"":""Polygon"",""coordinates"":[[[-47.339792,-22.408353],[-47.332107,-22.408353],[-47.332107,-22.401252],[-47.339792,-22.401252],[-47.339792,-22.408353]]]}",,Sao Paulo,BR,rain_fed
Sucafina - Dak Lak Coffee Plot 085,13.026575,108.187416,Coffee,567000,,1.16,Dak Lak,VN,irrigated
Volcafe - Antioquia Coffee Plot 086,6.221135,-75.788562,Coffee,181000,,3.67,Antioquia,CO,irrigated
ECOM - Sao Paulo Coffee Plot 087,-22.525778,-46.775438,Coffee,461000,,0.96,Sao Paulo,BR,irrigated
LDC Coffee - Dak Lak Coffee Plot 088,12.442954,107.86664,Coffee,1029000,,2.93,Dak Lak,VN,rain_fed
LDC Coffee - Sidama Coffee Plot 089,6.368962,38.728796,Coffee,513000,,0.3,Sidama,ET,rain_fed
Volcafe - Sao Paulo Coffee Plot 090,-21.485366,-47.035974,Coffee,75000,"{""type"":""Polygon"",""coordinates"":[[[-47.035974,-21.485366],[-47.032387,-21.485366],[-47.032387,-21.481348],[-47.035974,-21.481348],[-47.035974,-21.485366]]]}",,Sao Paulo,BR,irrigated
LDC Coffee - Minas Gerais Coffee Plot 091,-21.400168,-45.468974,Coffee,52000,,3.53,Minas Gerais,BR,mixed
Cargill Grains - Illinois Soybean Plot 001,40.078982,-89.170636,Soybean,1294000,,3.31,Illinois,US,rain_fed
Cargill Grains - Illinois Soybean Plot 002,40.043248,-88.714503,Soybean,3425000,,1.54,Illinois,US,rain_fed
COFCO - Illinois Soybean Plot 003,39.776528,-88.645763,Soybean,2461000,,1.8,Illinois,US,rain_fed
