Position ID,Issuer name,Issuer sector (NACE),Position value,Maturity / disposal date,Asset country,Asset NUTS3
POS-00036,Zurich Agriculture 11,01.50,18500000.00,2029-06-30,EU,CH040
POS-00037,Zurich Manufacturing 679,25.50,18300000.00,2035-06-30,EU,CH040
POS-00038,Zurich Hospitality 890,55.10,17400000.00,2030-06-30,EU,CH040
POS-00039,Valencia (flood zone) Real 650,68.20,17300000.00,2038-06-30,ES,ES523
POS-00040,Iberia (wildfire zone) Retail 938,47.19,17100000.00,2028-06-30,EU,FR102
POS-00041,Oslo Hospitality 279,55.10,15300000.00,2037-06-30,EU,NO081
POS-00042,Valencia (flood zone) Agriculture 294,01.50,15100000.00,2033-06-30,ES,ES421
POS-00043,Valencia (flood zone) Real 253,68.20,15100000.00,2033-06-30,ES,
POS-00044,Iberia (wildfire zone) Retail 156,47.19,13900000.00,2027-06-30,ES,ES423
POS-00045,Iberia (wildfire zone) Software 428,62.01,13800000.00,2034-06-30,ES,ES613
POS-00046,Copenhagen Logistics 695,52.10,13600000.00,2040-06-30,EU,DK011
POS-00047,Valencia (flood zone) Manufacturing 737,25.50,12800000.00,2031-06-30,ES,ES421
POS-00048,Vienna Agriculture 235,01.50,12600000.00,2033-06-30,EU,AT130
POS-00049,Frankfurt Logistics 277,52.10,12400000.00,2031-06-30,EU,DE712
POS-00050,Copenhagen Agriculture 558,01.50,12000000.00,2039-06-30,EU,DK011
POS-00051,Iberia (wildfire zone) Software 557,62.01,11900000.00,2032-06-30,EU,
POS-00052,Copenhagen Electricity 131,35.11,11200000.00,2040-06-30,EU,DK011
POS-00053,Valencia (flood zone) Retail 524,47.19,10900000.00,2035-06-30,ES,ES523
POS-00054,Valencia (flood zone) Agriculture 476,01.50,9500000.00,2029-06-30,ES,ES523
POS-00055,Iberia (wildfire zone) Hospitality 799,55.10,8300000.00,2038-06-30,EU,
POS-00056,Zurich Manufacturing 326,25.50,8000000.00,2038-06-30,EU,CH040
POS-00057,Iberia (wildfire zone) Manufacturing 719,25.50,7700000.00,2040-06-30,ES,ES421
POS-00058,Valencia (flood zone) Agriculture 608,01.50,7600000.00,2036-06-30,ES,ES523
POS-00059,Oslo Manufacturing 217,25.50,6800000.00,2027-06-30,EU,NO081
POS-00060,Valencia (flood zone) Logistics 227,52.10,6300000.00,2038-06-30,ES,ES522
POS-00061,Valencia (flood zone) Hospitality 61,55.10,6200000.00,2029-06-30,ES,ES523
POS-00062,Vienna Logistics 774,52.10,6000000.00,2029-06-30,EU,AT130
POS-00063,Frankfurt Manufacturing 819,25.50,5500000.00,2035-06-30,EU,DE712
POS-00064,Valencia (flood zone) Agriculture 465,01.50,5400000.00,2028-06-30,EU,
POS-00065,Vienna Logistics 845,52.10,5000000.00,2029-06-30,EU,AT130
POS-00066,Valencia (flood zone) Manufacturing 535,25.50,4800000.00,2037-06-30,ES,
POS-00067,Vienna Logistics 71,52.10,4700000.00,2039-06-30,EU,AT130
POS-00068,Iberia (wildfire zone) Manufacturing 731,25.50,4100000.00,2035-06-30,EU,
POS-00069,Stockholm Manufacturing 87,25.50,3200000.00,2034-06-30,EU,SE110
POS-00070,Iberia (wildfire zone) Manufacturing 442,25.50,3000000.00,2037-06-30,EU,NO082
