Policy ID,Insured name,Occupancy,Sum insured,Policy expiry,Risk country,Risk NUTS3
POL-00106,Valencia (flood zone) property 135,Property,1230000.00,2028-12-31,ES,ES522
POL-00107,Valencia (flood zone) property 20,Property,1190000.00,2026-12-31,ES,ES421
POL-00108,Malaga property 589,Property,1150000.00,2027-12-31,ES,ES617
POL-00109,Iberia (wildfire zone) property 4,Property,1130000.00,2028-12-31,ES,ES423
POL-00110,Valencia (flood zone) property 604,Property,1120000.00,2026-12-31,ES,ES523
POL-00111,Iberia (wildfire zone) property 498,Property,1120000.00,2027-12-31,ES,ES523
POL-00112,Iberia (wildfire zone) property 515,Property,1110000.00,2026-12-31,ES,
POL-00113,Valencia (flood zone) property 348,Property,1070000.00,2028-12-31,ES,ES421
POL-00114,Seville property 267,Property,1060000.00,2028-12-31,ES,
POL-00115,Valencia (flood zone) property 628,Property,1050000.00,2028-12-31,ES,ES421
POL-00116,Valencia (flood zone) property 893,Property,1040000.00,2026-12-31,ES,
POL-00117,Valencia (flood zone) property 218,Property,1030000.00,2028-12-31,ES,ES523
POL-00118,Valencia (flood zone) property 402,Property,1010000.00,2027-12-31,ES,ES421
POL-00119,Lisbon property 401,Property,1000000.00,2028-12-31,PT,PT170
POL-00120,Iberia (wildfire zone) property 463,Property,940000.00,2028-12-31,PT,PT186
POL-00121,Lisbon property 829,Property,930000.00,2027-12-31,PT,PT170
POL-00122,Valencia (flood zone) property 513,Property,790000.00,2028-12-31,ES,ES421
POL-00123,Iberia (wildfire zone) property 92,Property,750000.00,2028-12-31,PT,PT11D
POL-00124,Bilbao property 734,Property,750000.00,2028-12-31,ES,
POL-00125,Lisbon property 87,Property,750000.00,2026-12-31,PT,PT170
POL-00126,Madrid property 766,Property,740000.00,2028-12-31,ES,ES300
POL-00127,Valencia (flood zone) property 300,Property,730000.00,2028-12-31,ES,ES421
POL-00128,Zaragoza property 427,Property,700000.00,2027-12-31,ES,ES243
POL-00129,Barcelona property 942,Property,700000.00,2026-12-31,ES,ES511
POL-00130,Seville property 262,Property,650000.00,2026-12-31,ES,ES618
POL-00131,Valencia (flood zone) property 412,Property,580000.00,2026-12-31,ES,ES523
POL-00132,Iberia (wildfire zone) property 166,Property,580000.00,2027-12-31,PT,PT16H
POL-00133,Iberia (wildfire zone) property 457,Property,570000.00,2027-12-31,ES,ES523
POL-00134,Zaragoza property 996,Property,560000.00,2026-12-31,ES,ES243
POL-00135,Valencia (flood zone) property 181,Property,560000.00,2028-12-31,ES,ES523
POL-00136,Seville property 906,Property,560000.00,2028-12-31,ES,ES618
POL-00137,Valencia (flood zone) property 548,Property,550000.00,2026-12-31,ES,ES523
POL-00138,Iberia (wildfire zone) property 537,Property,540000.00,2027-12-31,ES,ES523
POL-00139,Valencia (flood zone) property 581,Property,470000.00,2027-12-31,ES,ES523
POL-00140,Iberia (wildfire zone) property 43,Property,440000.00,2026-12-31,ES,ES618
POL-00141,Iberia (wildfire zone) property 856,Property,370000.00,2026-12-31,ES,ES513
POL-00142,Valencia (flood zone) property 727,Property,370000.00,2027-12-31,ES,ES523
POL-00143,Seville property 422,Property,350000.00,2026-12-31,ES,ES618
POL-00144,Madrid property 240,Property,340000.00,2027-12-31,ES,ES300
POL-00145,Seville property 309,Property,320000.00,2027-12-31,ES,ES618
