Plot ID,Supplier / plot name,Commodity,Annual sourcing spend,Contract end,Origin country,Latitude,Longitude
PLOT-00046,Touton - San-Pedro Cocoa Plot 040,Cocoa,835000.00,2031-12-31,CI,4.786792,-6.989310
PLOT-00047,Raizen - Uttar Pradesh Cane sugar Plot 046,Cane sugar,991000.00,2030-12-31,IN,27.615647,79.112747
PLOT-00048,Wilmar Sugar - Maharashtra Cane sugar Plot 056,Cane sugar,2100000.00,2031-12-31,IN,19.606283,74.993398
PLOT-00049,ECOM - Minas Gerais Coffee Plot 050,Coffee,196000.00,2028-12-31,BR,-20.713037,-44.732750
PLOT-00050,Nordzucker - Picardy Sugar beet Plot 018,Sugar beet,510000.00,2029-12-31,FR,49.966582,2.298301
PLOT-00051,Barilla Grani - North Dakota Durum wheat Plot 001,Durum wheat,135000.00,2032-12-31,US,47.791747,-99.457400
PLOT-00052,Bunge - Nebraska Maize Plot 021,Maize,1701000.00,2028-12-31,US,40.592373,-99.029575
PLOT-00053,Cargill Cocoa - Ondo Cocoa Plot 079,Cocoa,442000.00,2031-12-31,NG,,
PLOT-00054,CHO - Puglia Olive oil Plot 032,Olive oil,566000.00,2029-12-31,IT,41.096614,17.159715
PLOT-00055,Cargill Grains - Iowa Maize Plot 047,Maize,1415000.00,2027-12-31,US,42.337202,-93.246183
PLOT-00056,Cargill - Andalucia Sunflower Plot 026,Sunflower,683000.00,2030-12-31,ES,37.877449,-4.989601
PLOT-00057,Olam Cocoa - Ondo Cocoa Plot 009,Cocoa,137000.00,2029-12-31,NG,6.664984,5.105610
PLOT-00058,ECOM - Comayagua Coffee Plot 009,Coffee,892000.00,2032-12-31,HN,15.102341,-88.465144
PLOT-00059,Bunge - Mato Grosso Maize Plot 041,Maize,712000.00,2030-12-31,BR,-13.009196,-55.059161
PLOT-00060,Bunge - Iowa Soybean Plot 019,Soybean,2372000.00,2027-12-31,US,,
PLOT-00061,ECOM - Sidama Coffee Plot 005,Coffee,1070000.00,2028-12-31,ET,6.892652,38.712509
PLOT-00062,Volcafe - Sidama Coffee Plot 069,Coffee,563000.00,2029-12-31,ET,6.962923,39.044741
PLOT-00063,Cutrale - Florida Citrus Plot 045,Citrus,850000.00,2029-12-31,US,27.880334,-81.766723
PLOT-00064,Cargill - Nouvelle-Aquitaine Sunflower Plot 044,Sunflower,1192000.00,2030-12-31,FR,,
PLOT-00065,Cargill Grains - Saskatchewan Wheat Plot 062,Wheat,736000.00,2030-12-31,CA,50.475471,-105.946597
PLOT-00066,GrainCorp - Poltava Wheat Plot 069,Wheat,2101000.00,2030-12-31,UA,48.527170,31.943588
PLOT-00067,Cargill Cocoa - San-Pedro Cocoa Plot 014,Cocoa,83000.00,2030-12-31,CI,4.703818,-6.909906
PLOT-00068,Cargill Grains - Saskatchewan Wheat Plot 024,Wheat,971000.00,2030-12-31,CA,,
PLOT-00069,Cemoi - Ondo Cocoa Plot 052,Cocoa,232000.00,2028-12-31,NG,6.700557,5.646577
PLOT-00070,Ebro Foods - Suphan Buri Rice Plot 034,Rice,1042000.00,2028-12-31,TH,15.803660,100.669807
PLOT-00071,GrainCorp - Poltava Wheat Plot 026,Wheat,782000.00,2031-12-31,UA,49.023922,32.530527
PLOT-00072,EID Parry - Uttar Pradesh Cane sugar Plot 040,Cane sugar,1603000.00,2032-12-31,IN,,
PLOT-00073,Semouleries - Foggia Durum wheat Plot 015,Durum wheat,634000.00,2031-12-31,IT,41.465001,15.844807
PLOT-00074,Olam Almonds - Central Valley Almonds Plot 004,Almonds,1758000.00,2029-12-31,US,37.000583,-119.465220
PLOT-00075,Olam Cocoa - Guayas Cocoa Plot 063,Cocoa,456000.00,2028-12-31,EC,-1.819385,-80.262025
PLOT-00076,Deoleo - Alentejo Olive oil Plot 013,Olive oil,145000.00,2031-12-31,PT,38.682245,-7.872718
PLOT-00077,Sucafina - Antioquia Coffee Plot 031,Coffee,960000.00,2029-12-31,CO,5.832094,-75.485712
PLOT-00078,Barry Callebaut - Western Cocoa Plot 004,Cocoa,495000.00,2028-12-31,GH,5.235099,-2.055255
PLOT-00079,Olam Almonds - Sunraysia Almonds Plot 015,Almonds,713000.00,2029-12-31,AU,-34.261272,142.562712
PLOT-00080,Terra Creta - Sfax Olive oil Plot 037,Olive oil,789000.00,2027-12-31,TN,35.849333,10.381742
PLOT-00081,LDC Rice - Punjab Rice Plot 031,Rice,1054000.00,2031-12-31,IN,30.918955,75.918888
PLOT-00082,Viterra - Wheatbelt Wheat Plot 012,Wheat,973000.00,2031-12-31,AU,,
PLOT-00083,Boortmalt - Champagne Barley Plot 027,Barley,432000.00,2031-12-31,FR,48.438415,4.455847
PLOT-00084,COFCO - Illinois Soybean Plot 003,Soybean,2461000.00,2030-12-31,US,39.776528,-88.645763
PLOT-00085,Olam Cocoa - San-Pedro Cocoa Plot 085,Cocoa,315000.00,2031-12-31,CI,4.704466,-6.132558
PLOT-00086,Cargill Grains - Beauce Wheat Plot 061,Wheat,1960000.00,2031-12-31,FR,48.526470,1.726328
PLOT-00087,ADM - Santa Fe Soybean Plot 055,Soybean,2694000.00,2027-12-31,AR,-31.029200,-60.456267
PLOT-00088,Terra Creta - Sfax Olive oil Plot 040,Olive oil,1034000.00,2028-12-31,TN,35.483062,10.326139
PLOT-00089,Wilmar Sugar - Queensland Cane sugar Plot 003,Cane sugar,1044000.00,2030-12-31,AU,-19.736193,147.167062
PLOT-00090,Cemoi - Ashanti Cocoa Plot 021,Cocoa,841000.00,2029-12-31,GH,6.781901,-1.640822
PLOT-00091,LDC Coffee - Comayagua Coffee Plot 057,Coffee,1098000.00,2029-12-31,HN,14.961379,-87.506311
PLOT-00092,ADM - Mato Grosso Soybean Plot 028,Soybean,140000.00,2032-12-31,BR,-12.667920,-55.964392
PLOT-00093,Neumann Kaffee - Dak Lak Coffee Plot 016,Coffee,211000.00,2027-12-31,VN,13.002556,107.727469
PLOT-00094,LT Foods - Mekong Delta Rice Plot 038,Rice,735000.00,2032-12-31,VN,10.283547,105.258917
PLOT-00095,Semouleries - Chaouia Durum wheat Plot 009,Durum wheat,1120000.00,2031-12-31,MA,32.452781,-7.388665
PLOT-00096,AMC Group - Mpumalanga Citrus Plot 031,Citrus,1295000.00,2027-12-31,ZA,-24.892750,31.344450
PLOT-00097,Ebro Foods - Vercelli Rice Plot 037,Rice,728000.00,2027-12-31,IT,45.355659,8.710890
PLOT-00098,ADM - Braila Sunflower Plot 013,Sunflower,850000.00,2028-12-31,RO,44.468410,26.569840
PLOT-00099,Kernel - Andalucia Sunflower Plot 015,Sunflower,173000.00,2027-12-31,ES,36.958927,-4.529742
PLOT-00100,Viterra - Wheatbelt Wheat Plot 007,Wheat,1692000.00,2027-12-31,AU,-31.220531,117.175578
PLOT-00101,Cargill Cocoa - San-Pedro Cocoa Plot 058,Cocoa,271000.00,2027-12-31,CI,5.152385,-6.270532
PLOT-00102,Olam Cocoa - Centre Cocoa Plot 066,Cocoa,368000.00,2027-12-31,CM,3.621456,11.100903
PLOT-00103,Touton - Daloa Cocoa Plot 011,Cocoa,706000.00,2031-12-31,CI,6.496982,-6.112524
PLOT-00104,GrainCorp - Beauce Wheat Plot 025,Wheat,1078000.00,2029-12-31,FR,48.666572,1.890032
PLOT-00105,Sucafina - Dak Lak Coffee Plot 085,Coffee,567000.00,2031-12-31,VN,13.026575,108.187416
PLOT-00106,Ebro Foods - Arkansas Rice Plot 007,Rice,1416000.00,2030-12-31,US,35.177556,-91.153804
PLOT-00107,Olam Rice - Mekong Delta Rice Plot 012,Rice,1020000.00,2027-12-31,VN,9.842472,105.204321
PLOT-00108,Kernel - Kirovohrad Sunflower Plot 035,Sunflower,1399000.00,2029-12-31,UA,48.104178,32.170689
PLOT-00109,Riceland - Mekong Delta Rice Plot 011,Rice,822000.00,2032-12-31,VN,9.772115,106.028881
PLOT-00110,Copersucar - Maharashtra Cane sugar Plot 049,Cane sugar,442000.00,2027-12-31,IN,19.185492,74.594566
PLOT-00111,Select Harvests - Sunraysia Almonds Plot 007,Almonds,1300000.00,2029-12-31,AU,-33.686930,142.653403
PLOT-00112,Bunge - Parana Soybean Plot 072,Soybean,3115000.00,2027-12-31,BR,-25.010798,-51.820023
PLOT-00113,Raizen - Sao Paulo Cane sugar Plot 036,Cane sugar,2425000.00,2031-12-31,BR,-21.744696,-48.803750
PLOT-00114,Amaggi - Cordoba Soybean Plot 070,Soybean,2254000.00,2030-12-31,AR,-31.263924,-63.720990
PLOT-00115,COFCO - Iowa Soybean Plot 030,Soybean,201000.00,2030-12-31,US,41.915355,-93.341218
PLOT-00116,GrainCorp - Poltava Wheat Plot 055,Wheat,569000.00,2028-12-31,UA,48.551864,31.730278
PLOT-00117,Barry Callebaut - Ashanti Cocoa Plot 090,Cocoa,57000.00,2030-12-31,GH,,
PLOT-00118,Raizen - Uttar Pradesh Cane sugar Plot 023,Cane sugar,1094000.00,2028-12-31,IN,27.273480,80.026351
PLOT-00119,Tereos - Flevoland Sugar beet Plot 008,Sugar beet,248000.00,2028-12-31,NL,52.037507,5.593771
PLOT-00120,Cemoi - Ondo Cocoa Plot 006,Cocoa,448000.00,2031-12-31,NG,7.489252,5.143730
PLOT-00121,Wilmar Sugar - Maharashtra Cane sugar Plot 004,Cane sugar,1088000.00,2029-12-31,IN,19.633481,74.616471
PLOT-00122,Amaggi - Parana Soybean Plot 015,Soybean,2041000.00,2030-12-31,BR,-24.229511,-51.965842
PLOT-00123,Cargill Grains - Illinois Soybean Plot 006,Soybean,205000.00,2030-12-31,US,40.082313,-89.227051
PLOT-00124,Sudzucker - Picardy Sugar beet Plot 016,Sugar beet,1012000.00,2031-12-31,FR,49.266933,2.874556
PLOT-00125,COFCO - Mato Grosso Soybean Plot 010,Soybean,3300000.00,2028-12-31,BR,-12.918268,-56.324970
PLOT-00126,Soufflet - Kansas Wheat Plot 045,Wheat,1897000.00,2028-12-31,US,38.259060,-98.207750
PLOT-00127,Mitr Phol - Sao Paulo Cane sugar Plot 016,Cane sugar,1320000.00,2031-12-31,BR,-21.377268,-47.967068
PLOT-00128,Pernod Ricard Vin - Barossa Wine grapes Plot 002,Wine grapes,469000.00,2030-12-31,AU,-34.208941,138.590747
PLOT-00129,Malteurop - Alberta Barley Plot 010,Barley,878000.00,2029-12-31,CA,52.756658,-113.735475
PLOT-00130,Neumann Kaffee - Sidama Coffee Plot 002,Coffee,912000.00,2030-12-31,ET,6.643940,39.045623
PLOT-00131,Bunge - La Pampa Sunflower Plot 017,Sunflower,1093000.00,2028-12-31,AR,,
PLOT-00132,EID Parry - Uttar Pradesh Cane sugar Plot 057,Cane sugar,2744000.00,2032-12-31,IN,27.572960,79.931224
PLOT-00133,COFCO - Iowa Maize Plot 011,Maize,412000.00,2028-12-31,US,41.893914,-93.111892
PLOT-00134,Olam Cocoa - San-Pedro Cocoa Plot 010,Cocoa,739000.00,2029-12-31,CI,4.920227,-6.942875
PLOT-00135,LDC Coffee - Comayagua Coffee Plot 022,Coffee,146000.00,2030-12-31,HN,14.323452,-88.390862
PLOT-00136,Cargill - Nouvelle-Aquitaine Sunflower Plot 001,Sunflower,149000.00,2028-12-31,FR,45.363075,0.750844
PLOT-00137,Bunge - Andalucia Sunflower Plot 002,Sunflower,1381000.00,2028-12-31,ES,37.688992,-5.010386
PLOT-00138,Cemoi - Ashanti Cocoa Plot 071,Cocoa,418000.00,2031-12-31,GH,6.916839,-1.108444
PLOT-00139,LDC - Braila Sunflower Plot 034,Sunflower,968000.00,2027-12-31,RO,44.579572,26.509554
PLOT-00140,Copersucar - Maharashtra Cane sugar Plot 032,Cane sugar,1808000.00,2029-12-31,IN,19.277565,74.421008
PLOT-00141,Sucafina - Minas Gerais Coffee Plot 070,Coffee,362000.00,2030-12-31,BR,-21.217632,-45.519605
PLOT-00142,Malteurop - Bavaria Barley Plot 032,Barley,764000.00,2031-12-31,DE,49.345812,11.906262
PLOT-00143,ADM - Braila Sunflower Plot 051,Sunflower,100000.00,2028-12-31,RO,44.994202,27.094280
PLOT-00144,LT Foods - Punjab Rice Plot 041,Rice,878000.00,2029-12-31,IN,,
PLOT-00145,Barry Callebaut - Western Cocoa Plot 004,Cocoa,495000.00,2029-12-31,GH,,
PLOT-00146,COFCO - Cordoba Soybean Plot 040,Soybean,2519000.00,2030-12-31,AR,-31.620158,-63.682519
PLOT-00147,LDC - Cherkasy Maize Plot 066,Maize,298000.00,2028-12-31,UA,49.391163,31.436280
PLOT-00148,Volcafe - Dak Lak Coffee Plot 023,Coffee,630000.00,2029-12-31,VN,12.676326,108.136187
PLOT-00149,Viterra - South Australia Barley Plot 028,Barley,576000.00,2029-12-31,AU,-34.220101,138.309313
PLOT-00150,ADM Milling - Poltava Wheat Plot 037,Wheat,765000.00,2031-12-31,UA,48.760191,31.633456
PLOT-00151,LoBue - Valencia Citrus Plot 023,Citrus,391000.00,2030-12-31,ES,39.766598,-0.871004
PLOT-00152,Neumann Kaffee - Huila Coffee Plot 074,Coffee,717000.00,2032-12-31,CO,2.661349,-75.940650
PLOT-00153,AMC Group - Valencia Citrus Plot 030,Citrus,1494000.00,2029-12-31,ES,38.944360,-0.430012
PLOT-00154,ADM Milling - Wheatbelt Wheat Plot 033,Wheat,2157000.00,2028-12-31,AU,-31.354377,117.386224
PLOT-00155,ADM - Aquitaine Maize Plot 071,Maize,2271000.00,2029-12-31,FR,44.117382,0.378666
PLOT-00156,GrainCorp - Poltava Wheat Plot 005,Wheat,1536000.00,2030-12-31,UA,49.251634,31.505964
PLOT-00157,Barry Callebaut - Ashanti Cocoa Plot 001,Cocoa,546000.00,2027-12-31,GH,6.480172,-1.524363
PLOT-00158,ADM - La Pampa Sunflower Plot 019,Sunflower,1330000.00,2032-12-31,AR,-36.254211,-64.296936
PLOT-00159,EID Parry - Queensland Cane sugar Plot 030,Cane sugar,521000.00,2029-12-31,AU,-18.998709,147.317753
PLOT-00160,Riceland - Mekong Delta Rice Plot 023,Rice,937000.00,2031-12-31,VN,,
PLOT-00161,Amaggi - Parana Soybean Plot 081,Soybean,2301000.00,2029-12-31,BR,-24.266201,-51.316240
PLOT-00162,Treasury Estates - Rioja Wine grapes Plot 030,Wine grapes,1834000.00,2030-12-31,ES,42.176273,-2.651667
PLOT-00163,Soufflet - Beauce Wheat Plot 051,Wheat,1656000.00,2031-12-31,FR,48.276749,2.083537
PLOT-00164,COFCO - Iowa Soybean Plot 026,Soybean,925000.00,2029-12-31,US,41.969751,-93.531687
PLOT-00165,ECOM - Comayagua Coffee Plot 053,Coffee,901000.00,2028-12-31,HN,15.109800,-87.703377
PLOT-00166,ADM - Aquitaine Maize Plot 012,Maize,419000.00,2028-12-31,FR,43.742843,0.511010
PLOT-00167,Barry Callebaut - Western Cocoa Plot 004,Cocoa,495000.00,2029-12-31,GH,5.235099,-2.055255
PLOT-00168,Touton - Centre Cocoa Plot 087,Cocoa,139000.00,2032-12-31,CM,4.246500,11.445780
PLOT-00169,Borges - Granada Almonds Plot 021,Almonds,1378000.00,2028-12-31,ES,37.130017,-2.466673
PLOT-00170,LDC - Nouvelle-Aquitaine Sunflower Plot 049,Sunflower,1208000.00,2030-12-31,FR,45.354661,0.093798
PLOT-00171,Barry Callebaut - Ashanti Cocoa Plot 001,Cocoa,546000.00,2032-12-31,GH,,
PLOT-00172,ADM - Santa Fe Soybean Plot 077,Soybean,1514000.00,2032-12-31,AR,-31.206093,-60.811795
PLOT-00173,Sovena - Jaen Olive oil Plot 027,Olive oil,998000.00,2028-12-31,ES,37.334004,-3.435219
PLOT-00174,Blue Diamond - Sunraysia Almonds Plot 023,Almonds,802000.00,2030-12-31,AU,-34.031287,141.678862
PLOT-00175,Bunge - Buenos Aires Maize Plot 061,Maize,792000.00,2032-12-31,AR,-32.567386,-61.886208
PLOT-00176,ADM - Andalucia Sunflower Plot 030,Sunflower,921000.00,2028-12-31,ES,37.828926,-5.099504
PLOT-00177,Neumann Kaffee - Minas Gerais Coffee Plot 017,Coffee,1021000.00,2030-12-31,BR,-20.674370,-45.404945
PLOT-00178,Citrosuco - Mpumalanga Citrus Plot 021,Citrus,805000.00,2030-12-31,ZA,-24.961875,30.647365
PLOT-00179,Bunge - Nebraska Maize Plot 026,Maize,1003000.00,2029-12-31,US,41.094795,-98.974321
PLOT-00180,Copersucar - Nakhon Ratchasima Cane sugar Plot 042,Cane sugar,684000.00,2032-12-31,TH,14.450062,101.471491
PLOT-00181,Sudzucker - Picardy Sugar beet Plot 005,Sugar beet,1013000.00,2029-12-31,FR,49.411876,3.192411
PLOT-00182,CHO - Puglia Olive oil Plot 031,Olive oil,923000.00,2028-12-31,IT,40.503319,17.452386
PLOT-00183,Cutrale - Valencia Citrus Plot 018,Citrus,585000.00,2030-12-31,ES,39.477997,-0.674573
PLOT-00184,Cargill Grains - Mato Grosso Maize Plot 049,Maize,1754000.00,2027-12-31,BR,,
PLOT-00185,Volcafe - Comayagua Coffee Plot 073,Coffee,560000.00,2032-12-31,HN,14.112139,-88.355629
PLOT-00186,Bunge - Buenos Aires Maize Plot 069,Maize,1565000.00,2028-12-31,AR,-33.531405,-62.329982
PLOT-00187,Olam Cocoa - Ondo Cocoa Plot 018,Cocoa,724000.00,2029-12-31,NG,6.858659,5.005993
PLOT-00188,Barry Callebaut - Ondo Cocoa Plot 091,Cocoa,337000.00,2028-12-31,NG,7.358714,5.461613
PLOT-00189,De Cecco - Chaouia Durum wheat Plot 019,Durum wheat,113000.00,2028-12-31,MA,33.337346,-7.041980
PLOT-00190,Sucafina - Dak Lak Coffee Plot 003,Coffee,1100000.00,2027-12-31,VN,,
PLOT-00191,Indian River - Nile Delta Citrus Plot 037,Citrus,605000.00,2027-12-31,EG,30.960658,30.934410
PLOT-00192,Soufflet - Wheatbelt Wheat Plot 027,Wheat,1259000.00,2029-12-31,AU,-31.027892,116.961873
PLOT-00193,Barry Callebaut - Ashanti Cocoa Plot 001,Cocoa,546000.00,2032-12-31,GH,6.480172,-1.524363
PLOT-00194,Cargill Grains - Santa Fe Soybean Plot 052,Soybean,3450000.00,2029-12-31,AR,-30.235063,-60.908460
PLOT-00195,British Sugar - East of England Sugar beet Plot 011,Sugar beet,204000.00,2031-12-31,GB,52.747646,0.316371
PLOT-00196,Volcafe - Sao Paulo Coffee Plot 020,Coffee,399000.00,2031-12-31,BR,-21.540437,-46.814095
PLOT-00197,COFCO - Iowa Maize Plot 046,Maize,128000.00,2032-12-31,US,,
PLOT-00198,Neumann Kaffee - Sidama Coffee Plot 048,Coffee,579000.00,2031-12-31,ET,,
PLOT-00199,Cutrale - Valencia Citrus Plot 033,Citrus,675000.00,2031-12-31,ES,39.302906,-0.192450
PLOT-00200,Riceland - Suphan Buri Rice Plot 022,Rice,1215000.00,2032-12-31,TH,15.806096,100.558708
PLOT-00201,Touton - Western Cocoa Plot 067,Cocoa,815000.00,2029-12-31,GH,,
PLOT-00202,LT Foods - Mekong Delta Rice Plot 025,Rice,175000.00,2030-12-31,VN,10.410857,105.652767
PLOT-00203,ECOM - Sao Paulo Coffee Plot 087,Coffee,461000.00,2031-12-31,BR,-22.525778,-46.775438
PLOT-00204,LDC Coffee - Sao Paulo Coffee Plot 033,Coffee,348000.00,2029-12-31,BR,-22.304589,-47.245343
PLOT-00205,LT Foods - Arkansas Rice Plot 019,Rice,215000.00,2030-12-31,US,34.197410,-91.468277
PLOT-00206,Bunge - Aquitaine Maize Plot 055,Maize,945000.00,2030-12-31,FR,44.145308,0.543639
PLOT-00207,Olam Cocoa - Daloa Cocoa Plot 047,Cocoa,299000.00,2028-12-31,CI,6.956860,-6.174666
PLOT-00208,Sucafina - Huila Coffee Plot 060,Coffee,401000.00,2027-12-31,CO,,
PLOT-00209,Sucafina - Sao Paulo Coffee Plot 032,Coffee,464000.00,2028-12-31,BR,-22.119629,-46.745951
PLOT-00210,Cargill Grains - Beauce Wheat Plot 047,Wheat,1135000.00,2027-12-31,FR,47.917709,1.757295
PLOT-00211,Cemoi - Ashanti Cocoa Plot 077,Cocoa,751000.00,2027-12-31,GH,6.141912,-1.511453
PLOT-00212,Kernel - Braila Sunflower Plot 039,Sunflower,1209000.00,2030-12-31,RO,,
PLOT-00213,Sucafina - Minas Gerais Coffee Plot 064,Coffee,970000.00,2032-12-31,BR,-20.724732,-44.700723
PLOT-00214,Soufflet Malt - Alberta Barley Plot 019,Barley,86000.00,2028-12-31,CA,51.952684,-113.030366
PLOT-00215,Deoleo - Puglia Olive oil Plot 020,Olive oil,777000.00,2031-12-31,IT,40.851701,17.521739
PLOT-00216,Cargill Cocoa - Centre Cocoa Plot 005,Cocoa,81000.00,2027-12-31,CM,4.380459,11.723203
PLOT-00217,Cargill - Kirovohrad Sunflower Plot 006,Sunflower,780000.00,2029-12-31,UA,49.039183,31.921508
PLOT-00218,Raizen - Uttar Pradesh Cane sugar Plot 048,Cane sugar,1898000.00,2031-12-31,IN,,
PLOT-00219,Bunge - Cordoba Soybean Plot 017,Soybean,3030000.00,2027-12-31,AR,-30.933944,-63.305938
PLOT-00220,Olam Cocoa - Ashanti Cocoa Plot 032,Cocoa,446000.00,2028-12-31,GH,7.208664,-2.005047
PLOT-00221,Bunge - Iowa Soybean Plot 063,Soybean,1068000.00,2032-12-31,US,41.639883,-94.045887
PLOT-00222,Bunge - Iowa Maize Plot 014,Maize,908000.00,2031-12-31,US,41.561846,-93.157990
PLOT-00223,Raizen - Maharashtra Cane sugar Plot 022,Cane sugar,2307000.00,2027-12-31,IN,19.430975,74.816011
PLOT-00224,COFCO - Cordoba Soybean Plot 047,Soybean,2870000.00,2030-12-31,AR,-31.823470,-62.943575
PLOT-00225,Cargill Cocoa - Centre Cocoa Plot 070,Cocoa,669000.00,2030-12-31,CM,,
PLOT-00226,LDC - Aquitaine Maize Plot 053,Maize,921000.00,2029-12-31,FR,44.345990,-0.176730
PLOT-00227,Barry Callebaut - Guayas Cocoa Plot 073,Cocoa,165000.00,2029-12-31,EC,-1.968270,-79.773126
PLOT-00228,ADM - Nebraska Maize Plot 050,Maize,2330000.00,2027-12-31,US,41.085830,-98.871645
PLOT-00229,Olam Rice - Suphan Buri Rice Plot 004,Rice,333000.00,2027-12-31,TH,15.514965,100.907516
PLOT-00230,Bogus Country Plot,Coffee,310000.00,2030-12-31,,10.500000,38.200000
