Instrument ID,Debtor name,NACE,Outstanding nominal amount,Final maturity,Protection country,Protection NUTS3
INS-00061,Lisbon Hospitality 56,55.10,26400000.00,2029-06-30,PT,PT170
INS-00062,Milan Logistics 36,52.10,24500000.00,2033-06-30,IT,ITC4C
INS-00063,Valencia Energy 3,35.11,24400000.00,2040-06-30,ES,ES523
INS-00064,Valencia Energy 79,35.11,24400000.00,2029-06-30,ES,ES523
INS-00065,Valencia Logistics 51,52.10,24200000.00,2035-06-30,ES,ES421
INS-00066,Dhaka textile complex,C,24000000.00,2031-06-30,BD,
INS-00067,EU Manufacturing 83,25.50,23500000.00,2029-06-30,EU,
INS-00068,Valencia Hospitality 75,55.10,23500000.00,2040-06-30,ES,ES523
INS-00069,Valencia Hospitality 32,55.10,23200000.00,2038-06-30,ES,ES523
INS-00070,Valencia Commercial 21,68.20,23100000.00,2032-06-30,ES,ES523
INS-00071,Milan Hospitality 52,55.10,23000000.00,2033-06-30,IT,ITC4C
INS-00072,EU Commercial 94,68.20,22900000.00,2029-06-30,EU,RS211
INS-00073,Lyon Logistics 59,52.10,21200000.00,2029-06-30,FR,FRK26
INS-00074,San Juan commercial 1,68.20,21000000.00,2030-06-30,PR,
INS-00075,Loess Plateau agri-estate,A,21000000.00,2037-06-30,CN,
INS-00076,IT Logistics 19,52.10,20800000.00,2030-06-30,IT,
INS-00077,Frankfurt Logistics 84,52.10,20800000.00,2040-06-30,DE,
INS-00078,ES Commercial 77,68.20,20500000.00,2031-06-30,ES,ES618
INS-00079,Barcelona Commercial 66,68.20,20400000.00,2031-06-30,ES,
INS-00080,Valencia Agriculture 13,01.50,19800000.00,2033-06-30,ES,
INS-00081,IT Logistics 34,52.10,19400000.00,2035-06-30,IT,
INS-00082,Valencia Hospitality 11,55.10,19400000.00,2036-06-30,ES,ES523
INS-00083,Valencia Hospitality 59,55.10,18800000.00,2029-06-30,ES,ES523
INS-00084,Lyon Hospitality 53,55.10,18600000.00,2035-06-30,FR,FRK26
INS-00085,Oklahoma grain terminal,A,18000000.00,2036-06-30,US,
INS-00086,API Tower Rotterdam,,18000000.00,2038-06-30,NL,NL33C
INS-00087,Milan Logistics 38,52.10,17000000.00,2040-06-30,IT,
INS-00088,Frankfurt Agriculture 73,01.50,16600000.00,2040-06-30,DE,DE712
INS-00089,EU Manufacturing 49,25.50,16500000.00,2037-06-30,EU,
INS-00090,Valencia Agriculture 74,01.50,15900000.00,2033-06-30,ES,ES523
INS-00091,EU Hospitality 40,55.10,15100000.00,2033-06-30,EU,
INS-00092,Valencia Agriculture 3,01.50,14400000.00,2028-06-30,ES,ES522
INS-00093,Valencia Hospitality 52,55.10,14300000.00,2033-06-30,ES,ES523
INS-00094,Valencia Agriculture 91,01.50,14000000.00,2028-06-30,ES,
INS-00095,Norway aquaculture coast,A,14000000.00,2034-06-30,NO,NO0A2
INS-00096,Lyon Commercial 44,68.20,14000000.00,2032-06-30,FR,FRK26
INS-00097,Frankfurt Agriculture 81,01.50,13700000.00,2028-06-30,DE,DE712
INS-00098,Porto Manufacturing 83,25.50,13100000.00,2029-06-30,PT,
INS-00099,Valencia Hospitality 64,55.10,12600000.00,2032-06-30,ES,ES523
INS-00100,Lisbon Hospitality 71,55.10,12500000.00,2028-06-30,PT,PT170
INS-00101,Barcelona Commercial 50,68.20,12300000.00,2036-06-30,ES,ES511
INS-00102,Valencia Agriculture 70,01.50,12100000.00,2037-06-30,ES,ES523
INS-00103,ES Hospitality 35,55.10,11900000.00,2032-06-30,ES,ES613
INS-00104,Valencia Logistics 79,52.10,11500000.00,2034-06-30,ES,ES523
INS-00105,Valencia Agriculture 8,01.50,11500000.00,2040-06-30,ES,ES523
INS-00106,Valencia Hospitality 11,55.10,11000000.00,2034-06-30,ES,ES523
INS-00107,Valencia Agriculture 35,01.50,10800000.00,2031-06-30,ES,ES523
INS-00108,EU Hospitality 9,55.10,10800000.00,2028-06-30,EU,
INS-00109,Lyon Hospitality 69,55.10,10700000.00,2038-06-30,FR,FRK26
INS-00110,Los Lotes commercial 1,68.20,10400000.00,2032-06-30,GT,
INS-00111,Antigua hospitality 1,55.10,10300000.00,2038-06-30,GT,
INS-00112,Lyon Hospitality 37,55.10,10300000.00,2040-06-30,FR,FRK26
INS-00113,Valencia Hospitality 8,55.10,9800000.00,2035-06-30,ES,ES523
INS-00114,Sahel irrigation scheme,A,9000000.00,2027-06-30,NE,
INS-00115,CSV Regression Berlin,,9000000.00,2035-06-30,ES,DE300
INS-00116,Valencia Agriculture 83,01.50,8800000.00,2038-06-30,ES,ES523
INS-00117,Valencia Logistics 83,52.10,7600000.00,2027-06-30,ES,ES523
INS-00118,Valencia Agriculture 9,01.50,7400000.00,2031-06-30,ES,ES523
INS-00119,Valencia Logistics 48,52.10,7300000.00,2040-06-30,ES,ES523
INS-00120,EU Agriculture 67,01.50,7100000.00,2040-06-30,EU,TR321
INS-00121,Ponce hospitality 1,55.10,6800000.00,2031-06-30,PR,
INS-00122,API Warehouse Sevilla,,6500000.00,2029-06-30,ES,ES618
INS-00123,Barcelona Agriculture 18,01.50,6500000.00,2030-06-30,ES,ES511
INS-00124,Valencia Hospitality 44,55.10,5900000.00,2039-06-30,ES,ES523
INS-00125,Lyon Agriculture 91,01.50,5500000.00,2037-06-30,FR,FRK26
INS-00126,Valencia Hospitality 39,55.10,4900000.00,2039-06-30,ES,ES523
INS-00127,Valencia Agriculture 71,01.50,2700000.00,2039-06-30,ES,ES523
INS-00128,Valencia Residential 18,68.20,2500000.00,2039-06-30,ES,ES523
INS-00129,Frankfurt Residential 39,68.20,2500000.00,2033-06-30,DE,DE712
INS-00130,ES Residential 24,68.20,2400000.00,2030-06-30,ES,ES521
INS-00131,Valencia Residential 57,68.20,2400000.00,2034-06-30,ES,ES523
INS-00132,Valencia Residential 51,68.20,2100000.00,2027-06-30,ES,ES523
INS-00133,Valencia Residential 81,68.20,2000000.00,2039-06-30,ES,ES523
INS-00134,Porto Residential 63,68.20,1900000.00,2031-06-30,PT,PT11A
INS-00135,EU Residential 39,68.20,1900000.00,2030-06-30,EU,
INS-00136,Valencia Residential 68,68.20,1800000.00,2032-06-30,ES,ES523
INS-00137,Valencia Residential 83,68.20,1600000.00,2038-06-30,ES,ES523
INS-00138,EU Residential 38,68.20,1500000.00,2032-06-30,EU,
INS-00139,Rome Residential 58,68.20,1500000.00,2032-06-30,IT,ITI43
INS-00140,EU Residential 93,68.20,1300000.00,2028-06-30,EU,SK023
INS-00141,ES Residential 30,68.20,800000.00,2030-06-30,ES,ES616
INS-00142,Valencia Residential 13,68.20,800000.00,2034-06-30,ES,ES523
INS-00143,Valencia Residential 5,68.20,700000.00,2036-06-30,ES,ES523
INS-00144,EU Residential 27,68.20,700000.00,2040-06-30,EU,
INS-00145,Barcelona Residential 64,68.20,700000.00,2037-06-30,ES,
INS-00146,EU Residential 61,68.20,300000.00,2032-06-30,EU,
